id,Gender,Age,City,Profession,CGPA,Sleep Duration,Dietary Habits,Degree,Work/Study Hours
370,Male,31,Nashik,Student,6.79,'More than 8 hours',Unhealthy,MCA,0
381,Male,20,Thane,Student,8.7,'Less than 5 hours',Unhealthy,'Class 12',4
385,Male,21,Ludhiana,Student,7.38,'Less than 5 hours',Healthy,MA,2
392,Male,25,Kanpur,Student,8.5,'7-8 hours',Moderate,BA,11
398,Male,19,Mumbai,Student,7.09,'7-8 hours',Healthy,'Class 12',11
407,Female,34,Surat,Student,9.82,'More than 8 hours',Healthy,MSc,12
408,Male,24,Agra,Student,8.89,'5-6 hours',Healthy,M.Tech,10
414,Male,33,Hyderabad,Student,7.94,'Less than 5 hours',Moderate,B.Ed,8
420,Male,32,Patna,Student,9.11,'7-8 hours',Moderate,MBBS,5
421,Male,18,Bhopal,Student,6.75,'7-8 hours',Moderate,'Class 12',6
423,Female,31,Indore,Student,7.53,'Less than 5 hours',Unhealthy,M.Com,7
425,Female,25,Kalyan,Student,9.49,'7-8 hours',Healthy,BHM,9
429,Male,20,Surat,Student,9.01,'5-6 hours',Unhealthy,'Class 12',3
441,Male,31,Ghaziabad,Student,7.64,'7-8 hours',Unhealthy,MSc,0
447,Male,24,Surat,Student,5.27,'7-8 hours',Unhealthy,MD,6
454,Male,24,Lucknow,Student,8.74,'Less than 5 hours',Unhealthy,B.Pharm,8
455,Female,23,Rajkot,Student,6,'5-6 hours',Healthy,MSc,0
457,Female,25,Varanasi,Student,9.44,'More than 8 hours',Moderate,BSc,7
464,Male,25,Srinagar,Student,5.75,'More than 8 hours',Unhealthy,BSc,5
467,Female,25,Ghaziabad,Student,7.51,'More than 8 hours',Moderate,B.Arch,7
475,Female,28,Kalyan,Student,6.37,'5-6 hours',Unhealthy,BE,4
477,Female,20,Ahmedabad,Student,6.95,'More than 8 hours',Unhealthy,'Class 12',12
484,Female,24,Faridabad,Student,7.1,'Less than 5 hours',Moderate,LLM,6
487,Male,23,Ludhiana,Student,9.66,'5-6 hours',Moderate,B.Tech,12
491,Male,19,Pune,Student,9.05,'More than 8 hours',Moderate,'Class 12',1
494,Female,24,Hyderabad,Student,6.38,'Less than 5 hours',Healthy,MCA,11
503,Female,34,Surat,Student,8.5,'More than 8 hours',Unhealthy,BSc,1
508,Female,25,Ghaziabad,Student,7.09,'5-6 hours',Healthy,B.Arch,8
509,Male,28,Nashik,Student,8.97,'7-8 hours',Unhealthy,BBA,3
510,Female,27,Bhopal,Student,8.95,'More than 8 hours',Healthy,BBA,4
522,Male,22,Pune,Student,9.88,'More than 8 hours',Healthy,BSc,0
523,Male,27,Kolkata,Student,6.75,'5-6 hours',Healthy,BHM,10
525,Female,34,Hyderabad,Student,5.32,'7-8 hours',Unhealthy,B.Tech,7
529,Male,22,Nagpur,Student,6.27,'5-6 hours',Moderate,B.Com,10
530,Male,23,Lucknow,Student,7.7,'More than 8 hours',Unhealthy,M.Com,11
534,Male,24,Kalyan,Student,9.66,'Less than 5 hours',Healthy,M.Pharm,9
535,Male,21,Delhi,Student,8.1,'More than 8 hours',Moderate,B.Arch,9
538,Male,26,Vasai-Virar,Student,9.59,'Less than 5 hours',Unhealthy,BSc,11
539,Female,24,Kolkata,Student,8.96,'5-6 hours',Moderate,BCA,12
541,Male,34,Kolkata,Student,7.51,'Less than 5 hours',Moderate,MSc,7
543,Female,29,Agra,Student,5.32,'Less than 5 hours',Unhealthy,ME,11
556,Male,33,Visakhapatnam,Student,8.95,'5-6 hours',Unhealthy,MBBS,10
580,Male,21,Patna,Student,8.5,'5-6 hours',Healthy,BCA,10
587,Female,33,Delhi,Student,5.51,'Less than 5 hours',Unhealthy,BSc,12
589,Male,28,Lucknow,Student,7.43,'More than 8 hours',Healthy,MBA,6
592,Male,27,Jaipur,Student,8.79,'5-6 hours',Unhealthy,MCA,8
594,Male,33,Meerut,Student,9.95,'Less than 5 hours',Moderate,M.Tech,0
595,Female,18,Delhi,Student,9.79,'Less than 5 hours',Unhealthy,'Class 12',10
598,Female,20,Kolkata,Student,5.37,'Less than 5 hours',Moderate,'Class 12',12
608,Female,19,Mumbai,Student,6.86,'Less than 5 hours',Unhealthy,'Class 12',12
609,Male,21,Ahmedabad,'Civil Engineer',7.83,'5-6 hours',Healthy,MSc,11
611,Male,32,Vasai-Virar,Student,8.32,'Less than 5 hours',Unhealthy,B.Tech,12
617,Male,32,Delhi,Student,5.51,'7-8 hours',Moderate,LLB,7
620,Male,33,Rajkot,Student,9.74,'Less than 5 hours',Healthy,MD,5
623,Female,23,Bangalore,Student,5.66,'Less than 5 hours',Unhealthy,MCA,11
626,Male,24,Kalyan,Student,7.48,'Less than 5 hours',Unhealthy,M.Com,10
632,Female,20,Srinagar,Student,8.89,'More than 8 hours',Unhealthy,'Class 12',6
658,Female,24,Ahmedabad,Student,8.23,'Less than 5 hours',Moderate,B.Arch,4
660,Male,22,Chennai,Student,8.81,'Less than 5 hours',Unhealthy,MCA,8
662,Male,26,Nashik,Student,6.03,'More than 8 hours',Unhealthy,BCA,11
668,Female,18,Vasai-Virar,Student,9.44,'More than 8 hours',Unhealthy,'Class 12',3
671,Male,26,Vasai-Virar,Student,7.25,'7-8 hours',Unhealthy,MD,9
673,Male,33,Lucknow,Student,5.56,'More than 8 hours',Unhealthy,MD,9
676,Female,19,Visakhapatnam,Student,5.68,'5-6 hours',Moderate,'Class 12',10
681,Male,26,Jaipur,Student,5.14,'7-8 hours',Healthy,MSc,12
683,Female,34,Lucknow,Student,7.61,'Less than 5 hours',Moderate,BE,3
687,Female,22,Pune,Student,6.17,'7-8 hours',Healthy,BCA,10
688,Female,28,Surat,Student,8.17,'Less than 5 hours',Unhealthy,B.Tech,7
695,Male,31,Lucknow,Student,9.87,'Less than 5 hours',Unhealthy,LLB,12
696,Female,18,Varanasi,Student,9.86,'More than 8 hours',Healthy,'Class 12',9
697,Male,32,Thane,Student,9.21,'5-6 hours',Unhealthy,M.Tech,0
701,Female,19,Jaipur,Student,5.46,'More than 8 hours',Unhealthy,'Class 12',11
707,Male,20,Mumbai,Student,8.96,'More than 8 hours',Unhealthy,'Class 12',1
708,Male,28,Nagpur,Student,7.94,'5-6 hours',Unhealthy,BCA,2
709,Male,19,Bhopal,Student,8.58,'Less than 5 hours',Healthy,'Class 12',10
710,Male,34,Pune,Student,8.5,'More than 8 hours',Moderate,B.Tech,3
712,Male,20,Vadodara,Student,8.74,'Less than 5 hours',Unhealthy,'Class 12',6
713,Male,18,Surat,Student,5.14,'More than 8 hours',Moderate,'Class 12',12
714,Female,29,Patna,Student,8.75,'7-8 hours',Moderate,BCA,10
716,Male,24,Kolkata,Student,9.71,'Less than 5 hours',Moderate,M.Tech,1
724,Male,33,Jaipur,Student,7.25,'5-6 hours',Healthy,BSc,1
728,Male,34,Nashik,Student,6.16,'Less than 5 hours',Moderate,B.Tech,10
733,Female,29,Agra,Student,9.5,'7-8 hours',Moderate,B.Com,9
735,Male,27,Lucknow,Student,7.99,'5-6 hours',Unhealthy,B.Com,10
737,Female,31,Srinagar,Student,9.86,'Less than 5 hours',Unhealthy,MD,9
744,Male,30,Ludhiana,Student,5.67,'Less than 5 hours',Moderate,B.Tech,4
746,Female,31,Thane,Student,8.92,'Less than 5 hours',Moderate,MA,8
749,Male,26,Rajkot,Student,6.19,'5-6 hours',Healthy,B.Arch,12
750,Male,21,Patna,Student,5.76,'Less than 5 hours',Unhealthy,B.Ed,9
754,Female,34,Lucknow,Student,5.9,'Less than 5 hours',Moderate,B.Ed,3
758,Male,24,Mumbai,Student,5.74,'More than 8 hours',Moderate,B.Com,11
759,Male,21,Varanasi,Student,8.04,'5-6 hours',Unhealthy,B.Com,9
763,Female,31,Nagpur,Student,6.25,'5-6 hours',Unhealthy,B.Tech,9
764,Male,20,Lucknow,Student,5.11,'More than 8 hours',Unhealthy,'Class 12',11
770,Male,34,Kanpur,Student,7.94,'5-6 hours',Moderate,LLM,12
774,Female,30,Ludhiana,Student,5.58,'Less than 5 hours',Healthy,M.Com,4
777,Male,30,Surat,Student,5.65,'7-8 hours',Unhealthy,M.Ed,12
779,Male,20,Bangalore,Student,9.72,'5-6 hours',Healthy,'Class 12',11
781,Female,22,Jaipur,Student,9.89,'7-8 hours',Moderate,B.Com,12
785,Male,18,Agra,Student,5.37,'More than 8 hours',Healthy,'Class 12',9
793,Female,27,Pune,Student,5.59,'Less than 5 hours',Healthy,PhD,6
796,Male,26,Meerut,Student,5.37,'7-8 hours',Moderate,BE,10
804,Male,24,Ludhiana,Student,5.7,'7-8 hours',Healthy,B.Pharm,5
811,Female,28,Vasai-Virar,Student,8.95,'5-6 hours',Healthy,BSc,2
813,Female,24,Pune,Student,8.74,'7-8 hours',Unhealthy,B.Arch,0
814,Female,32,Thane,Student,8.03,'5-6 hours',Unhealthy,BA,4
821,Female,21,Patna,Student,5.75,'7-8 hours',Healthy,MBBS,11
823,Male,19,Visakhapatnam,Student,6.61,'7-8 hours',Moderate,'Class 12',12
825,Female,24,Hyderabad,Student,9.41,'7-8 hours',Moderate,M.Ed,11
831,Female,26,Ghaziabad,Student,5.68,'7-8 hours',Healthy,B.Arch,8
832,Female,20,Srinagar,Student,8.64,'More than 8 hours',Unhealthy,'Class 12',4
836,Male,19,Kanpur,Student,7.21,'Less than 5 hours',Moderate,'Class 12',8
839,Male,32,Hyderabad,Student,7.92,'More than 8 hours',Moderate,MBBS,7
843,Female,23,Bhopal,Student,5.74,'5-6 hours',Moderate,B.Ed,2
847,Female,23,Vasai-Virar,Student,8.28,'Less than 5 hours',Moderate,M.Tech,10
852,Male,29,Vasai-Virar,Student,8.59,'7-8 hours',Moderate,MCA,8
854,Female,29,Ahmedabad,Student,6.04,'7-8 hours',Moderate,B.Ed,8
861,Female,27,Srinagar,Student,9.13,'7-8 hours',Unhealthy,MA,4
862,Female,33,Faridabad,Student,8.08,'More than 8 hours',Moderate,'Class 12',9
863,Female,33,Patna,Student,8.5,'More than 8 hours',Unhealthy,MSc,8
875,Male,31,Faridabad,Student,8.38,'Less than 5 hours',Moderate,LLB,12
877,Male,25,Nashik,Student,9.44,'7-8 hours',Moderate,B.Ed,10
882,Female,29,Pune,Student,9.96,'Less than 5 hours',Healthy,LLM,6
897,Female,18,Thane,Student,8.04,'More than 8 hours',Healthy,'Class 12',11
907,Female,18,Vadodara,Student,5.12,'7-8 hours',Healthy,'Class 12',7
910,Male,22,Kolkata,Student,7.64,'Less than 5 hours',Moderate,MSc,11
912,Male,24,Ghaziabad,Student,8.04,'5-6 hours',Moderate,BSc,5
918,Male,24,Kolkata,Student,9.44,'7-8 hours',Unhealthy,B.Ed,11
923,Male,30,Bhopal,Student,8.35,'7-8 hours',Unhealthy,'Class 12',11
926,Male,33,Srinagar,Student,7.07,'5-6 hours',Moderate,PhD,7
935,Male,34,Kalyan,Student,9.6,'More than 8 hours',Healthy,M.Tech,8
941,Male,32,Bhopal,Student,6.08,'7-8 hours',Moderate,MCA,7
947,Male,33,Kanpur,Student,9.54,'7-8 hours',Healthy,MA,11
949,Female,20,Pune,Student,6.17,'More than 8 hours',Healthy,'Class 12',7
953,Female,25,Agra,Student,9.95,'More than 8 hours',Unhealthy,B.Pharm,10
955,Male,24,Hyderabad,Student,9.05,'7-8 hours',Healthy,B.Tech,8
956,Male,23,Agra,Student,9.24,'Less than 5 hours',Healthy,B.Com,7
965,Female,30,Kolkata,Student,8.54,'Less than 5 hours',Moderate,M.Ed,12
978,Female,39,Kalyan,Student,6.51,'7-8 hours',Moderate,M.Tech,7
984,Male,22,Bangalore,Student,7.25,'7-8 hours',Unhealthy,BE,9
991,Male,23,Patna,Student,8.78,'5-6 hours',Unhealthy,B.Com,6
995,Male,31,Lucknow,Student,9.71,'More than 8 hours',Moderate,M.Tech,2
997,Male,20,Mumbai,Student,8.13,'Less than 5 hours',Unhealthy,'Class 12',10
1003,Male,20,Chennai,Student,8.93,'5-6 hours',Unhealthy,'Class 12',10
1006,Male,32,Kalyan,Student,9.66,'5-6 hours',Unhealthy,BSc,4
1012,Female,22,Agra,Student,5.56,'Less than 5 hours',Unhealthy,BHM,8
1015,Female,27,Jaipur,Student,8.91,'Less than 5 hours',Unhealthy,BSc,7
1022,Female,18,Ahmedabad,Student,6.16,'7-8 hours',Moderate,'Class 12',5
1029,Female,28,Faridabad,Student,9.04,'7-8 hours',Moderate,B.Com,2
1032,Female,22,Surat,Student,6.83,'Less than 5 hours',Healthy,BCA,4
1047,Female,20,Chennai,Student,7.7,'7-8 hours',Unhealthy,'Class 12',9
1049,Male,20,Ludhiana,Student,5.67,'More than 8 hours',Unhealthy,'Class 12',12
1054,Male,30,Indore,Student,6.51,'7-8 hours',Unhealthy,BHM,7
1055,Male,18,Srinagar,Student,6.21,'More than 8 hours',Moderate,'Class 12',6
1065,Female,26,Nashik,Student,8.28,'7-8 hours',Unhealthy,MBBS,10
1069,Male,34,Patna,Student,9.74,'More than 8 hours',Moderate,B.Ed,12
1075,Male,20,Lucknow,Student,9.6,'7-8 hours',Healthy,'Class 12',12
1079,Male,20,Srinagar,Student,6.25,'5-6 hours',Unhealthy,'Class 12',2
1084,Female,33,Vadodara,Student,7.1,'More than 8 hours',Healthy,B.Pharm,6
1087,Female,20,Hyderabad,Student,5.85,'7-8 hours',Unhealthy,'Class 12',8
1091,Female,28,Kalyan,Student,9.24,'7-8 hours',Moderate,M.Ed,4
1093,Female,26,Srinagar,Student,7.74,'Less than 5 hours',Moderate,MCA,0
1094,Male,25,Vadodara,Student,6.41,'7-8 hours',Moderate,M.Ed,9
1105,Female,28,Ahmedabad,Student,7.1,'7-8 hours',Healthy,MBBS,2
1108,Female,29,Chennai,Student,8.9,'Less than 5 hours',Moderate,BE,4
1117,Male,34,Lucknow,Student,9.6,'Less than 5 hours',Healthy,M.Tech,12
1126,Female,29,Ghaziabad,Student,5.88,'Less than 5 hours',Healthy,M.Com,0
1130,Female,28,Srinagar,Student,6.16,'Less than 5 hours',Moderate,BHM,5
1131,Female,33,Vadodara,Student,9.72,'Less than 5 hours',Moderate,BHM,4
1134,Male,18,Vasai-Virar,Student,6.19,'7-8 hours',Moderate,'Class 12',4
1148,Male,19,Ahmedabad,Student,7.75,'5-6 hours',Healthy,'Class 12',10
1152,Female,27,Kalyan,Student,7.88,'More than 8 hours',Unhealthy,BBA,10
1154,Female,29,Pune,Student,6.83,'Less than 5 hours',Healthy,BE,12
1156,Female,18,Kolkata,Student,5.42,'7-8 hours',Unhealthy,'Class 12',9
1158,Male,27,Srinagar,Student,7.52,'Less than 5 hours',Healthy,LLB,12
1165,Male,34,Kanpur,Student,7.68,'7-8 hours',Moderate,'Class 12',5
1168,Female,19,Patna,Student,5.85,'7-8 hours',Moderate,'Class 12',5
1170,Female,30,Thane,Student,7.88,'5-6 hours',Unhealthy,B.Ed,1
1177,Female,25,Vasai-Virar,Student,8.4,'More than 8 hours',Healthy,BHM,1
1179,Female,20,Ludhiana,Student,8.95,'Less than 5 hours',Moderate,'Class 12',7
1186,Female,20,Vasai-Virar,Student,8.9,'Less than 5 hours',Moderate,'Class 12',6
1187,Female,20,Surat,Student,7.64,'Less than 5 hours',Unhealthy,'Class 12',10
1197,Female,29,Lucknow,Student,9.39,'5-6 hours',Unhealthy,BSc,0
1201,Male,24,Mumbai,Student,6.84,'Less than 5 hours',Moderate,B.Pharm,7
1213,Male,34,Hyderabad,Student,5.11,'Less than 5 hours',Unhealthy,M.Pharm,6
1215,Male,31,Varanasi,Student,8.04,'7-8 hours',Moderate,B.Ed,2
1221,Male,23,Rajkot,Student,8.64,'Less than 5 hours',Unhealthy,M.Com,1
1222,Female,25,Vadodara,Student,5.99,'5-6 hours',Unhealthy,BHM,11
1225,Female,24,Hyderabad,Student,8.59,'5-6 hours',Unhealthy,B.Arch,8
1232,Female,25,Varanasi,Student,9.39,'5-6 hours',Moderate,LLB,8
1240,Male,23,Agra,Student,6.99,'5-6 hours',Healthy,B.Arch,7
1241,Male,21,Nagpur,Student,6.83,'7-8 hours',Healthy,MCA,10
1244,Male,22,Thane,Student,7.09,'5-6 hours',Moderate,MBA,6
1252,Male,33,Bhopal,Student,8.62,'More than 8 hours',Moderate,BCA,0
1254,Male,24,Kalyan,Student,9.54,'Less than 5 hours',Unhealthy,MBA,5
1255,Female,25,Rajkot,Student,8.53,'Less than 5 hours',Healthy,BA,2
1263,Male,33,Agra,Student,7.1,'Less than 5 hours',Moderate,LLB,4
1275,Male,27,Kolkata,Student,7.47,'Less than 5 hours',Moderate,BHM,12
1278,Female,31,Visakhapatnam,Student,9.93,'More than 8 hours',Healthy,B.Ed,12
1286,Female,19,Indore,Student,6.78,'More than 8 hours',Healthy,'Class 12',7
1296,Male,29,Mumbai,Student,9.59,'More than 8 hours',Moderate,B.Ed,11
1301,Male,23,Kalyan,Student,9.93,'7-8 hours',Moderate,MBA,9
1305,Male,25,Rajkot,Student,7.52,'Less than 5 hours',Moderate,MBBS,0
1307,Male,34,Srinagar,Student,6.42,'5-6 hours',Moderate,M.Pharm,4
1319,Male,18,Ahmedabad,Student,8.35,'More than 8 hours',Unhealthy,'Class 12',12
1324,Male,29,Hyderabad,Student,6.08,'7-8 hours',Healthy,MBA,6
1328,Female,25,Vasai-Virar,Student,7.1,'Less than 5 hours',Healthy,MBBS,11
1329,Male,29,Srinagar,Student,9.95,'5-6 hours',Unhealthy,LLB,10
1334,Male,28,Meerut,Student,9.74,'Less than 5 hours',Healthy,MBBS,11
1336,Female,31,Faridabad,Student,9.92,'5-6 hours',Unhealthy,B.Com,3
1347,Male,30,Surat,Student,8.39,'Less than 5 hours',Unhealthy,M.Com,5
1348,Male,24,Ghaziabad,Student,8.96,'5-6 hours',Healthy,LLM,11
1355,Male,26,Vadodara,Student,8.95,'5-6 hours',Unhealthy,B.Ed,7
1360,Female,29,Visakhapatnam,Student,5.89,'5-6 hours',Moderate,MCA,10
1361,Male,22,Ludhiana,Student,5.76,'7-8 hours',Unhealthy,M.Com,10
1369,Female,31,Chennai,Student,6,'5-6 hours',Moderate,M.Ed,10
1370,Female,29,Ahmedabad,Student,5.58,'Less than 5 hours',Moderate,MBA,4
1373,Female,18,Mumbai,Student,7.22,'More than 8 hours',Healthy,'Class 12',10
1379,Female,27,Vadodara,Student,6.81,'7-8 hours',Unhealthy,M.Ed,10
1381,Male,32,Indore,Student,9.02,'7-8 hours',Moderate,MBBS,8
1384,Male,30,Delhi,Student,8.23,'More than 8 hours',Healthy,MD,0
1391,Male,26,Agra,Student,9.88,'5-6 hours',Healthy,BBA,7
1393,Male,28,Vadodara,Student,7.52,'More than 8 hours',Unhealthy,BE,9
1396,Male,28,Varanasi,Student,9.11,'5-6 hours',Moderate,BHM,7
1399,Female,25,Vasai-Virar,Student,9.54,'7-8 hours',Healthy,BHM,9
1403,Female,33,Pune,Student,8.58,'Less than 5 hours',Healthy,'Class 12',9
1411,Male,24,Kolkata,Student,9.6,'7-8 hours',Moderate,M.Pharm,8
1417,Female,22,Varanasi,Student,9.54,'More than 8 hours',Healthy,BBA,10
1425,Male,34,Agra,Student,9.97,'More than 8 hours',Moderate,BCA,0
1428,Male,29,Srinagar,Student,9.63,'7-8 hours',Moderate,M.Pharm,8
1431,Male,32,Nashik,Student,8.95,'Less than 5 hours',Moderate,M.Tech,5
1432,Female,31,Visakhapatnam,Student,9.39,'Less than 5 hours',Moderate,'Class 12',1
1439,Male,28,Vasai-Virar,Student,5.7,'Less than 5 hours',Unhealthy,BCA,11
1444,Male,30,Varanasi,Student,7.7,'5-6 hours',Moderate,B.Com,12
1450,Female,26,Surat,Student,9.67,'Less than 5 hours',Unhealthy,'Class 12',1
1453,Male,19,Kolkata,Student,9.41,'More than 8 hours',Healthy,'Class 12',12
1457,Female,21,Bangalore,Student,8.35,'More than 8 hours',Healthy,BSc,12
1464,Male,22,Thane,Student,6.78,'Less than 5 hours',Unhealthy,B.Com,10
1467,Male,23,Thane,Student,6.37,'Less than 5 hours',Moderate,B.Com,11
1472,Female,25,Varanasi,Student,5.64,'Less than 5 hours',Moderate,B.Ed,12
1474,Female,24,Ghaziabad,Student,6.99,'More than 8 hours',Moderate,'Class 12',9
1475,Female,18,Kolkata,Student,5.41,'7-8 hours',Moderate,'Class 12',7
1484,Female,19,Meerut,Student,6.41,'Less than 5 hours',Moderate,'Class 12',10
1488,Female,30,Lucknow,Student,7.27,'7-8 hours',Moderate,BA,12
1493,Female,35,Meerut,Student,5.32,'7-8 hours',Moderate,PhD,3
1494,Female,20,Chennai,Student,5.99,'7-8 hours',Moderate,'Class 12',4
1498,Male,20,Lucknow,Student,9.93,'7-8 hours',Moderate,'Class 12',2
1499,Female,18,Pune,Student,8.7,'Less than 5 hours',Healthy,'Class 12',5
1501,Female,18,Thane,Student,8.5,'More than 8 hours',Healthy,'Class 12',10
1512,Female,30,Ghaziabad,Student,9.44,'5-6 hours',Moderate,B.Arch,4
1513,Female,33,Ludhiana,Student,6.05,'7-8 hours',Moderate,MBA,7
1515,Female,29,Vasai-Virar,Student,9.6,'5-6 hours',Moderate,B.Arch,12
1526,Female,28,Srinagar,Student,8.7,'Less than 5 hours',Unhealthy,MD,7
1528,Male,26,Rajkot,Student,6.85,'More than 8 hours',Unhealthy,BBA,0
1529,Male,22,Jaipur,Student,9.33,'More than 8 hours',Moderate,BCA,9
1535,Female,28,Varanasi,Student,7.25,'Less than 5 hours',Moderate,BCA,12
1536,Male,32,Srinagar,Student,5.81,'7-8 hours',Unhealthy,ME,12
1545,Female,31,Surat,Student,8.17,'7-8 hours',Healthy,MCA,11
1565,Male,20,Rajkot,Student,6.03,'7-8 hours',Unhealthy,'Class 12',4
1580,Female,30,Ghaziabad,Student,5.56,'7-8 hours',Unhealthy,MBBS,11
1582,Male,27,Lucknow,Student,6.78,'Less than 5 hours',Unhealthy,B.Ed,2
1586,Male,26,Ahmedabad,Student,6.53,'5-6 hours',Moderate,B.Pharm,6
1589,Male,34,Vasai-Virar,Student,5.12,'More than 8 hours',Healthy,LLM,9
1591,Female,20,Pune,Student,5.74,'5-6 hours',Healthy,'Class 12',10
1593,Male,22,Mumbai,Student,6.16,'Less than 5 hours',Healthy,MSc,5
1600,Female,20,Ludhiana,Student,5.98,'5-6 hours',Healthy,'Class 12',2
1605,Female,27,Delhi,Student,9.05,'7-8 hours',Healthy,LLB,2
1609,Female,25,Rajkot,Student,6.78,'Less than 5 hours',Unhealthy,B.Ed,12
1616,Male,19,Delhi,Student,8.04,'5-6 hours',Healthy,'Class 12',10
