User ID,Age,Workout Type,Workout Duration (mins),Calories Burned,Heart Rate (bpm),Workout Intensity,Sleep Hours,Body Fat (%)
117,38,Strength,64,952,117,Low,7.4,28.5
118,40,Running,82,395,166,High,8.1,28.5
119,31,Running,39,459,80,High,7.8,28.5
120,38,Cycling,55,735,118,Medium,4.5,28.5
121,40,HIIT,94,758,155,Medium,6.7,28.5
122,45,Cycling,81,303,112,Low,7.4,28.5
123,22,Cycling,119,696,105,Medium,5.2,28.5
124,48,Cardio,74,570,94,Medium,8.2,28.5
125,35,Strength,96,415,90,Medium,8.3,28.5
126,47,Yoga,73,458,155,Medium,4.8,28.5
127,52,Strength,18,616,169,Low,5.9,28.5
128,23,HIIT,82,315,129,Medium,7.5,28.5
129,24,HIIT,58,737,155,Medium,9.6,28.5
130,51,HIIT,114,661,104,Medium,5.9,28.5
131,42,Cardio,37,275,85,High,7.8,28.5
132,21,Running,59,351,105,Medium,8.8,28.5
133,39,HIIT,13,697,134,Low,5.3,28.5
134,20,Yoga,47,629,142,Low,7.2,28.5
135,55,Yoga,55,538,114,High,4,28.5
136,52,Yoga,40,469,156,High,9.5,28.5
137,59,Cycling,16,359,161,High,9.7,28.5
138,23,Cardio,96,470,148,Low,7.5,28.5
139,37,Strength,54,466,115,Medium,7.5,28.5
140,45,Cycling,116,528,92,High,4.4,28.5
141,41,Running,25,420,144,Medium,7.4,28.5
142,56,Cycling,52,432,178,Medium,9.9,28.5
143,44,Strength,20,315,145,High,9,28.5
144,30,Yoga,113,968,169,Medium,7,28.5
145,57,Strength,102,922,108,Low,6.1,28.5
146,51,Cardio,14,528,98,Low,4.8,28.5
147,45,Running,52,239,161,High,8.7,28.5
148,58,Strength,47,195,179,High,9,28.5
149,59,Cycling,77,543,120,Medium,9.4,28.5
150,36,Yoga,68,367,110,Low,6.1,28.5
151,40,HIIT,72,520,160,Medium,6.3,28.5
152,34,Strength,36,464,95,Low,9.7,28.5
153,52,Cycling,82,508,90,Medium,5.1,28.5
154,31,HIIT,91,751,153,Low,6,28.5
155,24,Running,82,182,163,Low,5.9,28.5
156,40,Strength,28,469,84,High,8.1,28.5
157,59,HIIT,26,687,134,Medium,4.4,28.5
158,44,Yoga,12,582,126,High,9.2,28.5
159,57,HIIT,50,926,156,High,4.3,28.5
160,43,Cycling,108,855,111,High,6.8,28.5
161,20,Strength,101,756,134,High,4.4,28.5
162,50,Running,13,155,179,High,6.2,28.5
163,40,Running,51,560,84,Low,9.7,28.5
164,57,HIIT,53,375,134,High,8.3,28.5
165,52,Yoga,70,451,177,Low,7.6,28.5
166,25,Yoga,111,472,80,Medium,4,28.5
167,29,Cycling,73,565,146,High,6.5,28.5
168,41,HIIT,46,159,154,High,6.1,28.5
169,21,Running,35,942,153,Medium,4.1,28.5
170,45,Yoga,20,123,155,Low,8.1,28.5
171,40,Cardio,22,291,125,Low,6.6,28.5
172,57,Cardio,105,136,129,Low,5.7,28.5
173,22,HIIT,111,301,160,Low,8.9,28.5
174,31,HIIT,52,213,147,Medium,4.6,28.5
175,29,Cardio,88,248,178,High,4.7,28.5
176,38,Cycling,41,947,138,High,6.8,28.5
177,46,Cardio,89,615,177,High,9.8,28.5
178,56,Yoga,41,225,121,Low,7.4,28.5
179,26,Yoga,111,673,151,High,5.1,28.5
180,57,Yoga,24,838,111,Medium,9.6,28.5
181,44,Running,66,958,131,High,4.2,28.5
182,36,Cycling,25,857,172,High,4.9,28.5
183,33,Strength,78,608,134,Low,7.4,28.5
184,27,Strength,88,475,132,Medium,9,28.5
185,57,Cycling,76,562,102,High,6.1,28.5
186,23,Strength,16,734,146,High,8.2,28.5
187,53,HIIT,46,506,133,Medium,5.4,28.5
188,44,Cycling,49,369,131,Low,6.8,28.5
189,59,Yoga,53,845,87,Medium,9.9,28.5
190,21,Yoga,79,732,115,Low,4.2,28.5
191,57,Yoga,106,566,86,High,4.6,28.5
192,20,Yoga,32,901,123,High,8.4,28.5
193,29,Cardio,27,232,98,Low,8.2,28.5
194,34,Yoga,71,757,139,High,8.9,28.5
195,25,Cycling,11,876,159,Medium,4.9,28.5
196,41,Strength,98,993,137,Medium,4.2,28.5
197,39,Strength,97,751,120,High,6,28.5
198,32,Yoga,54,827,121,Low,6.1,28.5
199,36,Strength,56,604,111,Low,4.2,28.5
200,29,Yoga,98,884,171,Low,4,28.5
201,53,HIIT,85,530,106,Low,7.1,28.5
202,51,Strength,75,507,133,Medium,7.9,28.5
203,25,Cycling,112,542,135,Low,7,28.5
204,25,Yoga,97,693,171,Low,4.5,28.5
205,54,Cycling,57,406,140,Low,5.1,28.5
206,42,Running,39,929,147,Medium,7.1,28.5
207,57,Strength,68,643,141,High,4.9,28.5
208,24,Yoga,18,498,179,Low,8.4,28.5
209,26,HIIT,49,937,155,Medium,4.9,28.5
210,18,Yoga,59,306,150,Medium,6.7,28.5
211,40,Cardio,76,186,137,Medium,5.9,28.5
212,44,Strength,66,371,104,Medium,7.3,28.5
213,19,HIIT,107,905,143,Medium,8.7,28.5
214,55,Strength,72,564,169,Low,7.8,28.5
215,55,Cardio,26,577,82,Low,5.5,28.5
216,37,Yoga,12,304,178,Medium,6.3,28.5
217,49,Cardio,108,398,88,Medium,5.4,28.5
218,37,Running,57,920,96,High,7.6,28.5
219,58,Cardio,71,825,147,High,8.3,28.5
220,54,Cycling,11,805,168,Low,4.7,28.5
221,34,Strength,94,819,167,Low,5.7,28.5
222,23,Yoga,85,490,82,High,6.8,28.5
223,52,Cycling,43,822,119,Low,7.7,28.5
224,41,Cycling,117,701,153,High,7,28.5
225,41,Cycling,91,514,87,High,4.4,28.5
226,51,Running,74,713,158,Medium,4.3,28.5
227,34,Yoga,73,592,166,Medium,9.4,28.5
228,23,Cycling,28,450,139,High,8,28.5
229,55,HIIT,74,815,89,Low,7,28.5
230,43,Running,14,388,112,High,7.1,28.5
231,25,Strength,104,217,87,Medium,5.2,28.5
232,25,Cycling,18,204,155,High,6.2,28.5
233,49,Cycling,23,734,139,High,8.7,28.5
234,43,Running,92,901,160,Low,4.3,28.5
235,54,Running,12,346,179,Medium,4.8,28.5
236,58,Cycling,91,459,144,Medium,5.8,28.5
237,57,Yoga,41,444,134,High,6.6,28.5
238,38,Yoga,84,793,105,Low,5.7,28.5
239,21,Running,56,507,93,High,4.5,28.5
240,23,Running,17,310,107,Low,8.8,28.5
241,51,Running,81,590,99,Low,5.7,28.5
242,24,Strength,73,639,167,High,5.8,28.5
243,19,Strength,57,559,123,Low,8.7,28.5
244,56,Yoga,118,220,158,Medium,6.9,28.5
245,28,Cycling,69,387,117,High,6.6,28.5
246,33,Yoga,32,535,100,Medium,6.8,28.5
247,55,Strength,82,353,174,Medium,6.6,28.5
248,59,HIIT,113,492,160,High,6.5,28.5
249,41,Cardio,106,783,128,Medium,6.7,28.5
250,32,Yoga,43,792,169,Low,6,28.5
251,53,Running,16,885,130,High,6.5,28.5
252,37,Strength,119,731,141,Medium,6.2,28.5
253,40,Cycling,50,540,105,High,4.8,28.5
254,40,Yoga,12,851,96,High,8.5,28.5
255,30,Yoga,48,490,146,Medium,6.7,28.5
256,18,Cycling,58,598,161,High,8.5,28.5
257,38,HIIT,44,311,153,Medium,7.8,28.5
258,51,Cycling,107,314,142,Low,5.3,28.5
259,27,Yoga,20,530,103,High,4.3,28.5
260,51,Cycling,12,737,147,Medium,8.3,28.5
261,40,Strength,68,230,100,High,5.2,28.5
262,22,HIIT,89,677,106,Medium,8.3,28.5
263,43,Running,81,357,102,Medium,8,28.5
264,56,Cycling,86,432,86,Medium,4.8,28.5
265,55,HIIT,75,693,113,Medium,7,28.5
266,34,HIIT,46,602,160,High,6.2,28.5
267,40,Running,85,166,117,High,6,28.5
268,37,Running,33,537,110,High,6.6,28.5
269,41,Strength,13,400,144,High,5.6,28.5
270,19,Strength,78,967,103,Medium,4.1,28.5
271,47,Yoga,109,433,142,High,9,28.5
272,27,HIIT,70,472,90,Medium,6.5,28.5
273,38,Cardio,47,525,172,Medium,8.6,28.5
274,32,Yoga,86,221,109,High,4.8,28.5
275,53,Cardio,88,547,130,Medium,4.6,28.5
276,36,Yoga,73,826,138,High,9.6,28.5
277,40,Running,39,790,123,Medium,7.2,28.5
278,56,Running,104,884,116,Medium,5,28.5
279,28,HIIT,85,205,110,High,4.6,28.5
280,41,Yoga,75,355,98,High,5.3,28.5
281,23,Yoga,34,809,122,Medium,6.2,28.5
282,46,Cardio,119,890,131,Low,6.3,28.5
283,27,HIIT,85,352,88,Low,8.1,28.5
284,58,Cardio,87,313,115,Medium,7.1,28.5
285,38,Running,78,555,158,Medium,4.2,28.5
286,45,HIIT,64,313,151,High,6.2,28.5
287,23,Yoga,52,404,146,High,7.4,28.5
288,34,Running,77,387,97,Medium,4.2,28.5
289,32,Yoga,78,574,93,Low,8.6,28.5
290,58,Cardio,113,762,118,Medium,7.2,28.5
291,29,Running,97,659,137,Low,9.1,28.5
292,43,HIIT,111,400,174,Medium,6.2,28.5
293,44,Cycling,19,361,164,Low,5.8,28.5
294,26,Strength,102,255,134,Low,4,28.5
295,56,Cardio,16,842,151,Medium,5.7,28.5
296,38,HIIT,65,999,90,High,7.4,28.5
297,46,Cycling,118,606,157,Medium,5.8,28.5
298,28,Strength,53,758,171,Low,4.5,28.5
299,23,Strength,40,972,163,High,4.9,28.5
300,18,HIIT,15,380,116,Low,6.4,28.5
301,32,Running,18,139,124,Low,5.1,28.5
302,19,Cardio,29,313,92,Low,4.7,28.5
303,43,Running,92,303,167,Low,4.6,28.5
304,20,Cycling,40,695,149,High,6,28.5
305,22,Cardio,109,622,92,Medium,5.9,28.5
306,21,Strength,23,551,170,High,6.8,28.5
307,28,Strength,54,587,176,High,8.4,28.5
308,40,Strength,78,627,164,Low,7.7,28.5
309,31,Running,111,552,133,Low,6.8,28.5
310,40,HIIT,60,244,113,Low,4.1,28.5
311,46,Running,102,548,80,Low,8,28.5
312,49,Running,100,515,120,Medium,8.5,28.5
313,21,HIIT,34,848,177,High,6.2,28.5
314,19,Cycling,34,484,134,Low,4.9,28.5
315,41,Cycling,26,105,123,Low,9.5,28.5
316,22,Strength,68,918,86,Low,9.8,28.5
317,41,Cycling,27,590,93,Medium,8.8,28.5
318,59,Yoga,44,613,145,Medium,8.4,28.5
319,47,Cycling,96,190,135,High,7.2,28.5
320,54,Yoga,67,234,155,Low,5.2,28.5
321,41,Yoga,113,489,89,High,7.5,28.5
322,56,Cycling,77,577,135,High,6.1,28.5
323,18,Cardio,70,514,174,High,9.1,28.5
324,33,Running,31,368,141,Medium,5.2,28.5
325,48,Running,72,782,157,Low,9,28.5
326,49,Running,11,625,137,High,5.3,28.5
327,26,Yoga,94,638,163,Medium,6.8,28.5
328,35,Strength,25,629,111,Medium,8.2,28.5
329,46,Running,108,676,95,Medium,8.3,28.5
330,21,Cycling,108,703,154,Medium,4.8,28.5
331,41,Running,92,705,97,Medium,4.5,28.5
332,28,Yoga,105,131,146,Medium,7.9,28.5
333,27,Yoga,58,461,134,High,9.6,28.5
334,23,Running,47,217,123,Medium,7.1,28.5
335,45,Strength,112,364,149,Low,9.6,28.5
336,51,HIIT,101,323,85,Low,6.3,28.5
337,38,HIIT,10,891,165,High,8.3,28.5
338,39,Yoga,108,954,102,High,6.7,28.5
339,29,Yoga,75,713,114,Low,6.1,28.5
340,30,Cardio,118,375,95,High,4.7,28.5
341,26,Cardio,19,473,155,High,7.3,28.5
342,48,Cardio,96,928,106,Low,8,28.5
343,55,HIIT,104,443,108,Medium,7.9,28.5
344,29,HIIT,67,401,124,Low,5.2,28.5
345,40,Cardio,104,575,168,Medium,4.9,28.5
346,31,Cardio,54,422,176,Low,9.7,28.5
347,50,Cardio,76,150,176,Medium,5.1,28.5
348,39,Running,107,110,172,Low,6.5,28.5
349,38,Yoga,77,257,125,Low,6.4,28.5
350,54,Strength,36,223,145,Medium,7.8,28.5
351,57,Running,22,366,160,Low,4.9,28.5
352,52,Cardio,79,110,171,High,9.6,28.5
353,44,Cardio,23,736,123,High,5.3,28.5
354,51,HIIT,117,136,94,Medium,7.8,28.5
355,55,Strength,48,233,139,Low,6.9,28.5
356,18,Cardio,97,919,109,High,7.9,28.5
357,42,HIIT,81,490,152,High,7.1,28.5
358,30,Cardio,67,892,87,Medium,7.1,28.5
359,34,Cardio,86,859,123,Medium,6.7,28.5
360,26,Strength,106,541,133,Medium,6.4,28.5
361,51,Yoga,61,487,176,Medium,8.4,28.5
362,38,HIIT,39,214,81,High,7.9,28.5
363,48,Running,59,783,118,High,4.5,28.5
364,23,Yoga,74,558,90,Medium,5.7,28.5
365,32,Cycling,20,719,112,High,7.4,28.5
366,47,Cardio,30,978,86,Low,8.4,28.5
367,58,Running,109,683,112,Medium,8.9,28.5
368,45,Yoga,107,973,142,High,4.5,28.5
369,19,Yoga,47,208,107,Medium,6.7,28.5
370,51,Yoga,28,918,113,Medium,8.2,28.5
371,58,HIIT,99,292,135,Low,5.2,28.5
372,52,HIIT,51,150,120,Low,4.4,28.5
373,36,Cardio,114,606,148,High,9.1,28.5
374,47,HIIT,104,993,178,Medium,6,28.5
375,45,Cycling,15,182,135,Low,5.4,28.5
376,27,Yoga,90,274,107,Medium,5.1,28.5
377,51,Cardio,119,333,128,Low,4.1,28.5
378,59,Running,110,176,81,High,7.9,28.5
379,20,Strength,17,103,122,Low,8.7,28.5
380,41,Strength,26,444,101,Medium,4.4,28.5
381,37,HIIT,115,208,89,Medium,5.7,28.5
382,48,Yoga,75,116,136,Low,8.2,28.5
383,50,Yoga,93,861,148,Medium,9,28.5
384,44,HIIT,65,458,140,Low,8.3,28.5
385,19,Cardio,36,382,156,Medium,7.8,28.5
386,21,HIIT,79,465,139,Medium,5.4,28.5
387,54,Cardio,51,190,138,Medium,5.4,28.5
388,58,HIIT,69,385,179,Low,5.7,28.5
389,36,Cardio,70,289,122,Low,8.6,28.5
390,31,HIIT,21,469,175,Low,4.1,28.5
391,56,Strength,58,644,91,Medium,9.3,28.5
392,26,HIIT,113,610,90,Low,6,28.5
393,55,Yoga,70,178,141,High,9.5,28.5
394,49,Cycling,24,665,113,Low,7.3,28.5
395,33,Cardio,113,408,118,High,9.1,28.5
396,48,Cardio,80,239,94,High,8.6,28.5
397,46,Strength,108,438,168,Medium,8.4,28.5
398,59,Strength,62,860,110,High,6.7,28.5
399,40,Yoga,91,105,139,High,4.8,28.5
400,51,Running,113,830,89,High,9.2,28.5
401,49,Cardio,61,729,106,High,4.5,28.5
402,50,HIIT,58,448,129,High,7.4,28.5
403,23,Yoga,55,646,113,Medium,8.5,28.5
404,23,Cardio,113,788,81,Low,7.5,28.5
405,59,Cycling,68,136,146,Low,6.6,28.5
406,39,Cycling,55,854,100,Medium,7,28.5
407,39,Strength,89,425,133,Medium,6,28.5
408,27,Strength,20,591,133,High,7.6,28.5
409,45,Cycling,93,411,80,Medium,6,28.5
410,35,Yoga,32,730,148,High,7.2,28.5
411,22,Running,119,779,177,High,6.7,28.5
412,47,Cardio,56,366,97,Medium,5.9,28.5
413,29,HIIT,117,719,164,Medium,9.1,28.5
414,24,Cardio,82,999,145,Low,7.4,28.5
415,39,HIIT,78,610,150,Low,4.2,28.5
416,26,Cycling,71,618,152,High,9,28.5
417,29,Cycling,37,166,169,Medium,8,28.5
418,29,HIIT,47,940,136,Low,8.3,28.5
419,21,Yoga,108,956,179,High,9.1,28.5
420,43,HIIT,51,513,151,High,7.8,28.5
421,46,Running,66,813,122,Low,7.3,28.5
422,48,HIIT,111,996,153,Low,6.9,28.5
423,35,Running,65,423,128,Low,6.3,28.5
424,54,Cycling,42,697,152,High,5.9,28.5
425,32,Running,11,647,174,High,4.1,28.5
426,59,HIIT,118,725,81,High,6.8,28.5
427,44,Strength,92,103,177,High,4.9,28.5
428,58,Running,78,661,174,High,4.4,28.5
429,29,Strength,76,953,82,Low,5,28.5
430,34,HIIT,13,762,145,Medium,9.8,28.5
431,56,Strength,14,617,120,Medium,9.1,28.5
432,39,Yoga,40,104,118,Medium,8.1,28.5
433,50,Cardio,49,423,95,Low,5.7,28.5
434,20,Cycling,97,524,138,Low,6.9,28.5
435,23,Yoga,53,596,102,Low,9.8,28.5
436,52,Cardio,49,717,95,High,4.9,28.5
437,34,HIIT,88,258,168,Low,6,28.5
438,21,Cycling,102,271,88,Medium,4.2,28.5
439,43,Running,75,882,149,Medium,6.2,28.5
440,20,Yoga,110,587,136,Medium,5.4,28.5
441,35,HIIT,50,378,115,Low,5.8,28.5
442,32,Strength,23,571,173,High,4.2,28.5
443,53,Cycling,25,626,104,High,6.6,28.5
444,41,Cycling,56,491,165,High,4.4,28.5
445,39,Yoga,81,361,154,High,5.7,28.5
446,54,Running,93,769,147,High,9.1,28.5
447,18,Cardio,64,812,170,Low,8.7,28.5
448,25,Strength,36,458,145,High,5.3,28.5
449,38,Running,25,523,141,Low,7.9,28.5
450,56,Strength,22,504,93,Medium,9,28.5
451,49,Running,96,554,117,High,8.9,28.5
452,47,Cardio,16,909,91,Low,5.8,28.5
453,59,Cardio,64,283,103,Medium,6.2,28.5
454,56,Cardio,78,290,131,Low,7.8,28.5
455,32,Cycling,110,422,144,Medium,4.5,28.5
456,39,Cycling,50,705,163,Low,5.5,28.5
457,28,HIIT,32,973,115,Medium,9.2,28.5
458,48,HIIT,106,370,156,High,7.8,28.5
459,51,Running,36,227,113,Low,5.4,28.5
460,57,Strength,113,642,125,High,6.2,28.5
461,58,Cardio,98,414,176,Medium,4.5,28.5
462,38,HIIT,112,593,83,High,4,28.5
463,34,Strength,49,611,174,Medium,8,28.5
464,51,Cardio,84,349,130,High,9.5,28.5
465,25,Yoga,70,702,111,Low,6.6,28.5
466,55,Cardio,33,441,129,High,6.3,28.5
467,24,Strength,15,241,116,Low,4.9,28.5
468,31,Cycling,82,454,142,Medium,5.1,28.5
469,53,Yoga,115,127,143,Low,5.2,28.5
470,44,Strength,61,481,98,Medium,7.8,28.5
471,20,Cycling,112,690,96,Low,4.5,28.5
472,20,Running,81,884,148,High,7.6,28.5
473,34,HIIT,109,706,164,Medium,7.2,28.5
474,25,Yoga,112,992,82,Medium,5.4,28.5
475,20,Running,14,275,142,Low,7.7,28.5
476,52,Yoga,110,672,151,Medium,5.8,28.5
477,46,Running,25,361,132,Medium,6.7,28.5
478,20,Cycling,10,656,97,Medium,9.6,28.5
479,54,Cycling,82,290,135,Medium,6,28.5
480,24,Cycling,10,928,93,Low,6.9,28.5
481,46,HIIT,11,135,122,Medium,8.6,28.5
482,28,Strength,102,626,111,Low,8.7,28.5
483,34,HIIT,105,176,83,High,6.9,28.5
484,45,Yoga,62,677,140,Low,9.4,28.5
485,33,Cardio,45,779,110,Low,6.4,28.5
486,56,HIIT,100,230,101,Medium,6.7,28.5
487,42,HIIT,103,601,101,Medium,4.5,28.5
488,52,Strength,106,682,133,Medium,4.5,28.5
489,21,Cycling,37,945,128,Medium,5,28.5
490,42,Running,15,132,154,Low,7.4,28.5
491,21,Strength,55,950,81,Medium,6.8,28.5
492,48,Cycling,48,462,129,High,7.9,28.5
493,51,Strength,74,152,101,High,5.6,28.5
494,19,Running,85,798,82,Low,6.7,28.5
495,31,HIIT,63,631,84,Medium,9.6,28.5
496,51,Running,115,863,85,Medium,8.2,28.5
497,41,Cardio,33,601,162,High,5.1,28.5
498,24,Cardio,59,115,151,Low,7.2,28.5
499,43,Cardio,103,704,93,High,8.2,28.5
500,27,HIIT,64,506,121,Low,8.3,28.5
501,53,Strength,84,409,142,High,5.2,28.5
502,44,Cardio,45,346,171,High,4,28.5
503,55,Yoga,63,819,114,Medium,6.8,28.5
504,22,Cycling,28,479,82,Medium,7.7,28.5
505,45,HIIT,59,430,168,Low,7.8,28.5
506,33,HIIT,50,587,85,High,4.9,28.5
507,55,HIIT,54,886,82,High,5,28.5
508,44,Running,87,602,106,Medium,6.9,28.5
509,30,Strength,90,817,90,Medium,7.3,28.5
510,31,Running,53,471,136,Low,6.5,28.5
511,44,Strength,113,226,101,Low,4.3,28.5
512,54,Strength,95,926,152,Medium,7.5,28.5
513,32,Yoga,44,531,169,Low,4.5,28.5
514,56,Yoga,19,310,89,Medium,9.9,28.5
515,29,Yoga,16,419,114,High,7.9,28.5
516,18,Yoga,34,210,178,Medium,9.3,28.5
517,33,Cycling,23,388,133,Medium,7.6,28.5
518,48,Cycling,11,294,105,High,7.2,28.5
519,57,Cycling,51,605,117,High,7,28.5
520,40,Cardio,30,752,177,Low,5.3,28.5
521,52,Cardio,76,165,108,Medium,6.9,28.5
522,52,HIIT,68,510,109,High,6.1,28.5
523,23,Cycling,33,317,127,High,5.2,28.5
524,50,Yoga,48,982,123,Medium,8,28.5
525,24,Cycling,65,537,133,Low,9.2,28.5
526,46,Cycling,89,477,142,Medium,4.6,28.5
527,42,Cardio,107,173,171,High,8.7,28.5
528,57,Running,112,848,141,Low,8.3,28.5
529,29,Yoga,49,622,154,Medium,5.3,28.5
530,36,Running,26,909,171,High,7.3,28.5
531,28,Cycling,59,565,135,Medium,9.3,28.5
532,47,HIIT,92,295,131,High,4.2,28.5
533,31,Cycling,26,195,156,Medium,5.4,28.5
534,43,Cycling,17,868,172,Medium,9.1,28.5
535,18,Running,88,720,161,High,5.2,28.5
536,29,Cardio,22,886,147,Medium,6.4,28.5
537,47,Yoga,13,919,106,Medium,6.3,28.5
538,28,Cardio,89,638,113,Low,9.8,28.5
539,18,Running,28,117,99,Low,9.5,28.5
540,37,HIIT,36,524,124,Low,9,28.5
541,59,Strength,115,604,128,High,6,28.5
542,21,Cardio,110,590,160,Low,8.5,28.5
543,51,Cardio,35,766,178,High,7.1,28.5
544,33,Cardio,39,248,116,Low,7.6,28.5
545,37,Cardio,47,213,123,Low,5.6,28.5
546,37,Yoga,82,341,142,High,8.9,28.5
